0	Blank	BLN
1	Agi	VAL
2	Agilao	VAL
3	Agidyne	VAL
4	Maragi	VAL
5	Maragion	VAL
6	Maragidyne	VAL
7	Bufu	VAL
8	Bufula	VAL
9	Bufudyne	VAL
10	Mabufu	VAL
11	Mabufula	VAL
12	Mabufudyne	VAL
13	Garu	VAL
14	Garula	VAL
15	Garudyne	VAL
16	Magaru	VAL
17	Magarula	VAL
18	Magarudyne	VAL
19	Zio	VAL
20	Zionga	VAL
21	Ziodyne	VAL
22	Mazio	VAL
23	Mazionga	VAL
24	Maziodyne	VAL
25	Hama	VAL
26	Hamaon	VAL
27	Mahama	VAL
28	Mahamaon	VAL
29	Kouha	VAL
30	Kouga	VAL
31	Kougaon	VAL
32	Makouha	VAL
33	Makouga	VAL
34	Makougaon	VAL
35	Mudo	VAL
36	Mudoon	VAL
37	Mamudo	VAL
38	Mamudoon	VAL
39	Eiha	VAL
40	Eiga	VAL
41	Eigaon	VAL
42	Maeiha	VAL
43	Maeiga	VAL
44	Maeigaon	VAL
45	Megido	VAL
46	Megidola	VAL
47	Megidolaon	VAL
48	Frei	VAL
49	Freila	VAL
50	Freidyne	VAL
51	Mafrei	VAL
52	Mafreila	VAL
53	Mafreidyne	VAL
54	Dazzler	VAL
55	Nocturnal Flash	VAL
56	Pulinpa	VAL
57	Tentarafoo	VAL
58	Evil Touch	VAL
59	Evil Smile	VAL
60	Makajama	VAL
61	Makajamaon	VAL
62	Famine's Breath	INV
63	Famine's Scream	INV
64	Dormina	VAL
65	Lullaby	VAL
66	Taunt	VAL
67	Wage War	VAL
68	Ominous Words	VAL
69	Abysmal Surge	VAL
70	Marin Karin	VAL
71	Brain Jack	VAL
72	Trapped Rat	INV
73	Self-destruct	INV
74	Self-destruct	INV
75	Self-destruct	INV
76	Life Drain	VAL
77	Spirit Drain	VAL
78	Life Leech	INV
79	Spirit Leech	INV
80	Foul Breath	VAL
81	Stagnant Air	VAL
82	Ghastly Wail	VAL
83	Inferno	UNO
84	Blazing Hell	UNO
85	Diamond Dust	UNO
86	Ice Age	UNO
87	Panta Rhei	UNO
88	Vacuum Wave	UNO
89	Thunder Reign	UNO
90	Wild Thunder	UNO
91	Divine Judgment	UNO
92	Samsara	UNO
93	Demonic Decree	UNO
94	Die For Me!	UNO
95	Atomic Flare	UNO
96	Cosmic Flare	UNO
97	Black Viper	UNO
98	Morning Star	UNO
99	Psi	VAL
100	Psio	VAL
101	Psiodyne	VAL
102	Mapsi	VAL
103	Mapsio	VAL
104	Mapsiodyne	VAL
105	Psycho Force	UNO
106	Psycho Blast	UNO
107	Lunge	VAL
108	Assault Dive	VAL
109	Megaton Raid	VAL
110	God's Hand	VAL
111	Lucky Punch	VAL
112	Miracle Punch	VAL
113	Cleave	VAL
114	Giant Slice	VAL
115	Brave Blade	VAL
116	Sword Dance	VAL
117	Hassou Tobi	UNO
118	Ayamur	UNO
119	Cornered Fang	VAL
120	Rising Slash	VAL
121	Deadly Fury	VAL
122	Snap	VAL
123	Triple Down	VAL
124	One-shot Kill	VAL
125	Riot Gun	VAL
126	Vajra Blast	VAL
127	Vorpal Blade	VAL
128	Vicious Strike	VAL
129	Heat Wave	VAL
130	Gigantomachia	DLC
131	Rampage	VAL
132	Swift Strike	VAL
133	Deathbound	VAL
134	Agneyastra	VAL
135	Double Fangs	VAL
136	Tempest Slash	VAL
137	Myriad Slashes	VAL
138	Sledgehammer	VAL
139	Skull Cracker	VAL
140	Terror Claw	VAL
141	Headbutt	VAL
142	Stomach Blow	INV
143	Dream Needle	VAL
144	Hysterical Slap	VAL
145	Negative Pile	VAL
